university,overall,support 1,support2,exams,support3
RWTH Aachen,1.6,0.8571428571,1.9,1.8,1.8
Uni Augsburg,,0.7142857143,,,
Uni Bamberg,1.7,0.7857142857,1.9,2,1.8
Uni Bayreuth,,0.7857142857,,2.5,2.6
FU Berlin,2.3,0.7857142857,2.4,2.2,2.1
HU Berlin,,0.7142857143,2.2,2.1,2.3
TU Berlin,,,,,
Uni Bielefeld,,0.7857142857,2.4,2.2,2.4
Uni Bochum,2.2,0.7142857143,2.4,2.2,2.2
Uni Bonn,1.9,0.6428571429,2.1,1.9,2.1
TU Braunschweig,,0.7857142857,2.6,2.6,2.5
Constructor Univ. Bremen (priv.),,0.9285714286,,2.3,
Uni Bremen,,0.8571428571,,,
TU Chemnitz,,0.6428571429,,,
TU Clausthal,,0.9285714286,1.8,2.3,2.1
BTU Cottbus-Senftenberg,,0.8571428571,1.6,1.9,1.9
TU Darmstadt,2.1,0.8571428571,2.3,2.5,2
TU Dortmund,2,0.3571428571,2.1,2,2
TU Dresden,,0.7857142857,2.5,2.1,2
Uni Düsseldorf,2.7,0.3571428571,2.6,2.2,2.6
Uni Duisburg-Essen/Duisb.,2.4,0.7857142857,2.3,2.5,2.3
Uni Duisburg-Essen/Essen - Fakultät für Wirtschaftswissenschaften,2.6,0.7142857143,2.6,2.1,2.5
Uni Erlangen-Nürnberg,2,0.7142857143,2.3,2.3,2.3
Uni Frankfurt a.M.,,,,,
TU Bergakademie Freiberg,,,,,
Uni Freiburg,,0.6428571429,,,
Uni Göttingen,,0.7142857143,,,
Uni Halle-Wittenberg,,0.6428571429,,2.2,2.7
TU Hamburg,2.4,0.5714285714,2.3,2.6,2.2
Uni Hamburg,,,,,
Uni Hannover,2.2,0.7857142857,2.3,2.3,2
Uni Heidelberg - Fakultät für Mathematik und Informatik,2.3,0.3571428571,2.2,2.2,2.2
Uni Heidelberg - Medizinische Fakultät Heidelberg,1.9,,1.6,1.8,1.6
Uni Hildesheim,,0.8571428571,,,
TU Ilmenau,2.2,0.7857142857,2.1,2.2,2.1
Uni Jena,2.1,0.8571428571,2.1,2,2
RPTU Kaiserslautern-Landau,1.8,0.8571428571,1.9,2,1.8
Karlsruher Inst. f. Technologie KIT,2,0.9285714286,2.4,2.4,2.1
Uni Kassel,,0.8571428571,,,
Uni Kiel,,0.5,,,
Uni Koblenz,,0.5714285714,,,
Uni Konstanz,1.8,0.9285714286,,2.1,1.8
Uni Leipzig,,,,,
Uni Lübeck,2,0.7142857143,2.1,2.1,2.1
Uni Lüneburg,,,,,
Uni Magdeburg,2.1,0.7142857143,2.2,2.2,1.9
Uni Mainz,,0.7857142857,,,
Uni Marburg,2.2,0.7142857143,2.1,2,2
LMU München,,,,,
TU München,1.9,0.7857142857,2.2,1.8,2
Uni BW München,2.2,,2.1,2.3,2
Uni Münster,2,0.5,2.1,1.8,2.1
Uni Oldenburg,,,,,
Uni Osnabrück,2.3,0.6428571429,2.2,2.2,2.3
Uni Paderborn,1.9,0.8571428571,2,2,2
Uni Passau,2.4,0.6428571429,2.3,2.2,2.4
Uni Potsdam/Hasso-Plattner-Inst.,1.5,0.7142857143,1.8,2,1.4
Uni Potsdam,,,,,
Uni Regensburg,,,,,
Uni Rostock,1.9,0.7142857143,1.8,1.9,1.6
Uni des Saarlandes,1.9,0.9285714286,2.1,2.1,2.1
Uni Siegen,2.1,0.6428571429,2,2.1,2.2
Uni Stuttgart,,0.8571428571,2.5,2.4,2.1
Uni Trier,,0.5714285714,,,
Uni Tübingen,1.9,0.7857142857,2,2,1.9
Uni Ulm,1.9,0.9285714286,2,1.7,1.9
Uni Weimar,2.9,0.7857142857,2.2,2.3,
Uni Würzburg,2,0.6428571429,2.1,2.1,2.2
Uni Wuppertal,,0.4285714286,,,
