university,students,% in Time MA,% in Time BA
RWTH Aachen,2010,54.4,78.5
Alanus HS/Alfter (priv.),260,,82.7
Uni Augsburg - Wirtschaftswissenschaftliche Fakultät - FIM,100,100,
Uni Augsburg - Wirtschaftswissenschaftliche Fakultät,2850,64.9,95.9
Uni Bamberg,2230,61.2,90.2
Uni Bayreuth - Rechts- und Wirtschaftswissenschaftliche Fakultät - FIM,100,100,
Uni Bayreuth - Rechts- und Wirtschaftswissenschaftliche Fakultät,2380,49.3,77.4
ESCP Europe Berlin (priv.),740,100,
ESMT Berlin (priv.),360,100,
FU Berlin,1530,67.5,82
HU Berlin,1270,46,66.4
SHB Berlin (priv.),6390,74.9,81
TU Berlin,520,91.3,84.8
TU Braunschweig,350,,
Uni Bremen,2070,50.4,74
TU Clausthal,740,34.9,38.2
BTU Cottbus-Senftenberg,710,43.2,39.4
Uni Düsseldorf,1500,52.4,89.5
Uni Duisburg-Essen/Duisb.,3020,73.5,76.9
Uni Duisburg-Essen/Essen,2110,66.7,72.2
EBS Universität (priv.),1510,77.6,92
Katholische Universität,850,67.7,96.3
Europa-Uni Flensburg,750,71.6,89.1
Frankfurt School (priv.),1770,90.3,98.2
Europa-Uni Frankfurt (Oder),1770,48.4,77.3
TU Bergakademie Freiberg,360,41.9,57.1
Uni Freiburg,530,43.5,83.1
Uni Göttingen,2230,61.9,80.9
Uni Greifswald,1110,41,51.9
Uni Halle-Wittenberg,2410,61.5,62.4
KLU Hamburg (priv.),400,99.1,100
TU Hamburg,30,,
Uni Hamburg,2320,46.4,85
Uni BW Hamburg,480,100,100
TU Ilmenau,300,53.5,46.8
TU Kaiserslautern,830,40.3,33.9
Uni Kiel,1150,43.9,85.6
Uni Köln,4500,62.5,87.9
HHL Leipzig (priv.),520,76.1,
Uni Lüneburg,1450,74.8,81
Uni Magdeburg,1810,81.1,86.8
Uni Mannheim,3900,79.8,97.7
Uni Marburg,1200,44.6,76
LMU München,2540,84.8,97.9
TU München - Fakultät für Wirtschaftswissenschaften - FIM,100,100,
TU München - Fakultät für Wirtschaftswissenschaften,5200,72,88.4
TU München/Heilbronn,5200,,
Uni Münster,3410,83,90.3
Uni Passau,1370,96.3,99.7
Uni Potsdam,1070,66.3,70.9
Uni Regensburg,1900,72.8,98.9
Uni des Saarlandes,1480,44.5,63.6
Uni Siegen,3100,52.4,59.2
Uni Stuttgart,1010,58.8,80.3
Uni Trier,1170,74.5,79.9
Uni Tübingen,980,89.8,95.3
WHU Vallendar (priv.),1670,99.2,98
